createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token0.name,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,total_LP_amount,receiver,current_token_total_supply,burn_amount,timestamp_creator_LP_amount,timestamp_creator_token_amount
12791930,2021-07-09,0x79be722ac565ea6e0393b04604b766c6d6a07ed8,1e-18,0.017,0.017,SHIBA INU GOLD,0x362ab5301dbc494157a5ab263a386599f1851d1e,SHIBA INU GOLD,SHIBG,1e-18,18,66,0x1557c09b63ca266a6fcf478d7f2908406887657a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,200.0,4500000000000000.0,1635845980,2021-11-02 9:39,burn,1626241988,2021-07-14 5:53,239.56886,1e-18,-1.0,118.04416666666667h,True,1626241988,1,63,0,0.015625,0.984375,0.0,0.0,0.05453890689492784,0.0,63,0,63.0,180495,948683298.050513799599667063,0x1557c09b63ca266a6fcf478d7f2908406887657a,100.0,0.0,948683298.050513799599667063,0x1557c09b63ca266a6fcf478d7f2908406887657a,8.999999999999999e+17,0,948683298.0505137,895500000000000000
12618815,2021-06-12,0x5e58b5210e069fd4dcea10d94e735b0809b6a6b3,1e-18,8.52e-10,2e-18,Wrapped Ether,0xe6a739e8dc3b2f81cae3f76bb7cf6ab62b127a76,Jejudoge V2,JEJUDOGEv2,8.52e-10,18,77,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,470.0,500000000000000.0,1623566454,2021-06-13 6:40,burn,1623566454,2021-06-13 6:40,569.291876,1e-18,-1.0,21.3175h,True,1623566454,1,75,0,0.013157894736842105,0.9868421052631579,0.0,0.0,0.10535127299454869,0.0,75,0,75.0,48979,484767985.741632901407443057,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,100.0,0.0,484767985.741632901407443057,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,1000000000000000.0,499999999999000,484767985.74163294,999.943232459999990169308148324489593505859375
12624641,2021-06-13,0xf690325d046cc76b1f88c6d84b9ca7673f1b68ed,8.54e-10,1e-18,2e-18,jejudoge.net,0x66fa44eaee200e3f559bc67980f8a5b1ca4a3fc9,jejudoge.net,JEJUDOGEv2🐶,8.54e-10,18,86,0x7f5fe703ea7e052fc43baa453e931cda1af65319,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,460.0,500000000000000.0,1623660172,2021-06-14 8:42,burn,1623660172,2021-06-14 8:42,561.7277402999999,1e-18,-1.0,25.67861111111111h,True,1623660172,1,84,0,0.011764705882352941,0.9882352941176471,0.0,0.0,0.08549767905041841,0.0,84,0,84.0,62259,479583152.331271954159742806,0x7f5fe703ea7e052fc43baa453e931cda1af65319,100.0,0.0,479583152.331271954159742806,0x7f5fe703ea7e052fc43baa453e931cda1af65319,1000000000000000.0,499999999999499.9375,479583152.33127195,1497165595581.229248046875
12663417,2021-06-19,0x4014f7d9b0d0196da20199c9ad6c3e4251feb9fb,9.98e-10,1e-18,2e-18,Jejudoge,0xa387c2b305f64e0d4faedd63803b25e1dc411b5a,Jejudoge,JEJUDOGE🦮,9.98e-10,18,47,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,410.0,500000000000000.0,1624175488,2021-06-20 7:51,burn,1624175488,2021-06-20 7:51,453.87068899999997,1e-18,-1.0,24.63861111111111h,True,1624175488,1,45,0,0.021739130434782608,0.9782608695652174,0.0,0.0,0.08453886191445012,0.0,45,0,45.0,80117,452769256.906870831328689408,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,100.0,0.0,452769256.906870831328689408,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,1000000000000000.0,0,452769256.9068709,499999999999999.9375
12605370,2021-06-10,0x8b72aceb3e49a4c343ee538ff96b8497ba14575c,1e-18,8.12e-10,2e-18,Wrapped Ether,0xe4e873b8b73b290913ce7f26b55a2e809e1b9013,Jejudoge V2,JEJUDOGEv2🐕,8.12e-10,18,142,0x3380b498454f093c31c36b1b94ee51b5095377f1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,330.0,500000000000000.0,1623489000,2021-06-12 9:10,burn,1623489000,2021-06-12 9:10,500.7644973,1e-18,-1.0,49.84111111111111h,True,1623489000,1,140,0,0.0070921985815602835,0.9929078014184397,0.0,0.0,0.1639838018531398,0.0,140,0,140.0,178292,406201920.231798018022993178,0x3380b498454f093c31c36b1b94ee51b5095377f1,100.0,0.0,406201920.231798018022993178,0x3380b498454f093c31c36b1b94ee51b5095377f1,1000000000000000.0,500000000000000,406201920.23179805,0
12926281,2021-07-30,0x9e57e923ba5d203d16fdc374f0a0c307674eaf41,9.33e-09,1e-18,2e-18,xHokkaidu Inu,0x3fa24f77c3136910998b4194e931057c8df97abe,xHokkaidu Inu,xHOKK,9.33e-09,18,26,0xde849c1b6069e37e00b99300efe90e6505977c81,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,34.0,4500000000000000.0,1627682357,2021-07-30 21:59,burn,1627682357,2021-07-30 21:59,41.95390504,1e-18,-1.0,12.168333333333333h,True,1627682357,1,24,0,0.04,0.96,0.0,0.0,0.0986096807415036,0.0,22,2,7.333333333333333,23304,391152144.312158922874977293,0xde849c1b6069e37e00b99300efe90e6505977c81,100.0,0.0,391152144.312158922874977293,0xde849c1b6069e37e00b99300efe90e6505977c81,1e+16,5000000000000000,391152144.31215894,466313752133373.0625
12495032,2021-05-24,0x45a5eb4fad1e3c72b040896ab4cb06c9d1ba18a1,9.84e-10,1e-18,2e-18,Shiba Inu Bone,0x8b471803a85c6ca0030dc598ab9c55d259613ec4,Shiba Inu Bone,BONE,9.84e-10,18,79,0xfcbd7fa0d72578e2a006f8b343f0c69c9f9e4a16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,300.0,500000000000000.0,1621913468,2021-05-25 3:31,burn,1621913468,2021-05-25 3:31,393.8812903,1e-18,-1.0,22.55361111111111h,True,1621913468,1,77,0,0.01282051282051282,0.9871794871794872,0.0,0.0,0.11311271546512833,0.0,77,0,77.0,57898,387298334.620741688517925539,0xfcbd7fa0d72578e2a006f8b343f0c69c9f9e4a16,100.0,0.0,387298334.620741688517925539,0xfcbd7fa0d72578e2a006f8b343f0c69c9f9e4a16,1000000000000000.0,0,387298334.6207418,0
12481637,2021-05-22,0x314db25d74b93b75fcea2f1c73a262ffea873f18,1e-18,3.2799999999999994e-09,3.2799999999999994e-09,Shiba Inu Bone,0x766a51ef6afd317af3f122c186c3901a498a2281,Shiba Inu Bone,BONE,1e-18,18,236,0xdce322561aacf9e6b3e7c2f273e42cc359c62998,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,300.0,500000000000000.0,1622836049,2021-06-04 19:47,burn,1621745191,2021-05-23 4:46,662.0707244,1e-18,-1.0,25.615833333333335h,True,1621745191,1,233,0,0.004273504273504274,0.9957264957264957,0.0,0.0,0.2254129577208599,0.0,233,0,233.0,87963,387298334.620741688517925539,0xdce322561aacf9e6b3e7c2f273e42cc359c62998,100.0,0.0,387298334.620741688517925539,0xdce322561aacf9e6b3e7c2f273e42cc359c62998,1000000000000000.0,0,387298334.6207418,0
12513792,2021-05-27,0xeff48dd42612533a0236f4e1804195ddaa8b2605,1.07e-09,1e-18,2e-18,Shiba Inu Bone,0x53d8e2773b7d706fdabc9ec30543b39874ab2738,Shiba Inu Bone,BONE,1.07e-09,18,78,0xbdbe9abf1fbda1bbc9ce8310725aeb401c1fadbf,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,300.0,500000000000000.0,1622189282,2021-05-28 8:08,burn,1622189282,2021-05-28 8:08,360.9659797,1e-18,-1.0,29.350277777777777h,True,1622189282,1,76,0,0.012987012987012988,0.987012987012987,0.0,0.0,0.09221406911397907,0.0,76,0,76.0,96623,387298334.620741688517925539,0xbdbe9abf1fbda1bbc9ce8310725aeb401c1fadbf,100.0,0.0,387298334.620741688517925539,0xbdbe9abf1fbda1bbc9ce8310725aeb401c1fadbf,1000000000000000.0,0,387298334.6207418,0
12488542,2021-05-23,0xf4719a2e561195ec23ce6be496bbd888ecb6f69b,1e-18,9.18e-10,2e-18,Wrapped Ether,0xe8b374df91568e15acb7c63936563b89c652f797,Shiba Inu Bone,BONE,9.18e-10,18,75,0xcd8cf34063064b8aca85c716dcf270ac9f76f1d7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,300.0,500000000000000.0,1621831842,2021-05-24 4:50,burn,1621831842,2021-05-24 4:50,422.2911316000001,1e-18,-1.0,23.948333333333334h,True,1621831842,1,73,0,0.013513513513513514,0.9864864864864865,0.0,0.0,0.05301984858841585,0.0,73,0,73.0,77537,387298334.620741688517925539,0xcd8cf34063064b8aca85c716dcf270ac9f76f1d7,100.0,0.0,387298334.620741688517925539,0xcd8cf34063064b8aca85c716dcf270ac9f76f1d7,1000000000000000.0,0,387298334.6207418,2990164676021.82958984375
