createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token0.name,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,total_LP_amount,receiver,current_token_total_supply,burn_amount,timestamp_creator_LP_amount,timestamp_creator_token_amount
13260396,2021-09-20,0x2a0b15760dfbd7f4ec4cc8b71253756ecc6cfd9e,4e-18,2.8199999999999996e-13,8e-18,Wrapped Ether,0xd4ebd2a4f98a13adb5c78f59b5086de278a26185,DBAUDIO,DBA,2.8199999999999996e-13,18,24,0x43c7f0e9fffe4f4d36d7823e0583a5aa24adecab,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850,8.0,1000000.0,1632113418,2021-09-20 4:50,burn,1632113418,2021-09-20 4:50,10.069406800000001,4e-18,-1.0,0.7675h,True,1632113418,1,22,0,0.043478260869565216,0.9565217391304348,0.0,0.0,0.2451716738197425,0.0,18,4,3.6,1864,2828.427124746190096603,0x43c7f0e9fffe4f4d36d7823e0583a5aa24adecab,100.0,0.0,2828.427124746190096603,0x43c7f0e9fffe4f4d36d7823e0583a5aa24adecab,1000000.0,0,2828.42712475,0
13512154,2021-10-29,0x460c277910c30badb738ea232a0b70e2754b3c4f,0.00026986,4e-18,8e-18,Taiki Inu,0x9838f5adc2bcd5a25a4eefa96c7d1a86cc3e4f83,Taiki Inu,TAIKIINU,0.00026986,9,23,0x329f441ac527268d13dcd4d8a1f871ca541eaf55,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,8.0,1000000000000000.0,1635650738,2021-10-31 3:25,burn,1635650738,2021-10-31 3:25,10.48941953,4e-18,-1.0,38.62861111111111h,True,1635650738,1,21,0,0.045454545454545456,0.9545454545454546,0.0,0.0,0.15143760884244944,0.0,21,0,21.0,28137,2828.427124746190096603,0x329f441ac527268d13dcd4d8a1f871ca541eaf55,100.0,0.0,2828.427124746190096603,0x329f441ac527268d13dcd4d8a1f871ca541eaf55,1000000000000000.0,0,2828.42712475,0
12243985,2021-04-15,0x3f17031378471027441c7789a4630e7abd05296e,4.62e-14,2.2e-17,4.4e-17,Maiar Launchpad ,0x2b67ea0e6773391a2d42cebe78d50b7217328b0c,Maiar Launchpad ,MPAD,4.62e-14,18,44,0xf5826166e582233d7ce8ccaf29c469735315f7ff,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,40.0,200000.0,1618612462,2021-04-16 22:34,burn,1618612462,2021-04-16 22:34,61.33212778,2.2e-17,-1.0,36.5175h,True,1618612462,1,42,0,0.023255813953488372,0.9767441860465116,0.0,0.0,0.255305839774809,0.0,39,3,9.75,22381,2828.427124746190096603,0x12742698a2800e4491be7279aa6c244f0d99c772,100.0,0.0,2828.427124746190096603,0x12742698a2800e4491be7279aa6c244f0d99c772,1000000.0,0,2828.42712475,0
12713453,2021-06-27,0x6e5431b2a388d269381b2353e188f0c46c3a313c,0.000259148,4e-18,8e-18,MOONKISHU ⚡,0x54b936531dc9d61c77307f33b71a1287d154f95c,MOONKISHU ⚡,MOONKISHU ⚡,0.000259148,9,12,0xf653b8c5082d35a357e5ca050e9051c5842c1d49,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,10.0,800000000000000.0,1624768249,2021-06-27 4:30,burn,1624768249,2021-06-27 4:30,10.91719061,4e-18,-1.0,1.9152777777777779h,True,1624768249,1,10,0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.16489268888501135,0.0,10,0,10.0,5731,2828.427124746190096603,0xf653b8c5082d35a357e5ca050e9051c5842c1d49,100.0,0.0,2828.427124746190096603,0xf653b8c5082d35a357e5ca050e9051c5842c1d49,1000000000000000.0,99999999999999.984375,2828.42712475,0.1342177300000000073065820060946862213313579559326171875
12714301,2021-06-27,0x56030094d9bf5fed4e2e4059bee436fe33fa94db,0.000278774,4e-18,8e-18,MOONBURN 🔥,0x400d90ed0ed4fd0bd8fd81e703459071735142d5,MOONBURN 🔥,MOONBURN 🔥,0.000278774,9,11,0x0343f5ab7d353ff5ead4d644ca2e7c6bec9c270a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,10.0,800000000000000.0,1624784197,2021-06-27 17:56,burn,1624784197,2021-06-27 17:56,10.14640216,4e-18,-1.0,3.28h,True,1624784197,1,9,0,0.1,0.9,0.0,0.0,0.17704918032786884,0.0,9,0,9.0,3660,2828.427124746190096603,0x0343f5ab7d353ff5ead4d644ca2e7c6bec9c270a,100.0,0.0,2828.427124746190096603,0x0343f5ab7d353ff5ead4d644ca2e7c6bec9c270a,1000000000000000.0,99999999999999.984375,2828.42712475,0.1342177300000000073065820060946862213313579559326171875
11293203,2020-11-20,0xc4e58337087117ce14e68b7d7e089803c828f395,1.18e-14,8.6e-17,1.72e-16,Avatar,0x1c0aaf13b678b7fdc64117b89eb0f1e33deed8f4,Avatar,AVATAR,1.18e-14,18,90,0x7386e1ba506b40123221eea550d89058061c7591,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,80000.0,1605861100,2020-11-20 8:31,burn,1605861100,2020-11-20 8:31,241.12852169999996,8.6e-17,-1.0,2.562777777777778h,True,1605861100,1,88,0,0.011235955056179775,0.9887640449438202,0.0,0.0,0.3628963153384747,0.0,72,16,4.235294117647059,7002,2828.427124746190096603,0x7386e1ba506b40123221eea550d89058061c7591,100.0,0.0,2828.427124746190096603,0x7386e1ba506b40123221eea550d89058061c7591,80000.0,0,2828.42712475,984.3329131399999596396810375154018402099609375
11194669,2020-11-05,0xa969bbca15938e076d724dfb31cd747cf9077624,3.9e-17,2.59e-14,7.8e-17,Wrapped Ether,0xf979d80a1aa41530424b9862db13900fd49e86fb,Super Keep3r,SKP3R,2.59e-14,18,24,0x8bb8b4994080c4311093d4663b0fb933c73afda4,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,80000.0,1604664577,2020-11-06 12:09,burn,1604664577,2020-11-06 12:09,109.44108700000001,3.9e-17,-1.0,33.02916666666667h,True,1604664577,1,22,0,0.043478260869565216,0.9565217391304348,0.0,0.0,0.09125788756064306,0.0,19,3,4.75,31537,2828.427124746190096603,0x8bb8b4994080c4311093d4663b0fb933c73afda4,100.0,0.0,2828.427124746190096603,0x8bb8b4994080c4311093d4663b0fb933c73afda4,99999.99999999999,0,2828.42712475,1463
11303964,2020-11-21,0x9216aa1a87fffd662dbd2122871b794a0e9d02e8,1.92e-14,5.3000000000000005e-17,1.0600000000000001e-16,Yvault.Finance,0xa1bc99c3ab37236c7f9d428e8a6757a5337f3aea,Yvault.Finance,YVAULT,1.92e-14,18,39,0xf5acfbf3d16481abbd9322514e0240a2b26a3b04,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,80000.0,1605999275,2020-11-21 22:54,burn,1605999275,2020-11-21 22:54,147.2339478,5.3000000000000005e-17,-1.0,1.3594444444444445h,True,1605999275,1,37,0,0.02631578947368421,0.9736842105263158,0.0,0.0,0.37083333333333335,0.0,33,4,6.6,4080,2828.427124746190096603,0xf5acfbf3d16481abbd9322514e0240a2b26a3b04,100.0,0.0,2828.427124746190096603,0xf5acfbf3d16481abbd9322514e0240a2b26a3b04,80000.0,0,2828.42712475,7748.09820039999976870603859424591064453125
11094256,2020-10-20,0x8df23a60bea4c9669bad40887dd36062743e631a,1.61e-14,6.3e-17,1.26e-16,Good  Coin,0x82db6e6d123c9ceb23d070690bde2d9d46261922,Good  Coin,GOOD,1.61e-14,18,61,0x7af0f3e99a30b682d61c07be19c5874fb80e3832,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,80.0,100000.0,1603241978,2020-10-21 0:59,burn,1603241978,2020-10-21 0:59,176.3582124,6.3e-17,-1.0,7.868888888888889h,True,1603241978,1,59,0,0.016666666666666666,0.9833333333333333,0.0,0.0,0.2627704326923077,0.0,53,6,7.571428571428571,6656,2828.427124746190096603,0x7af0f3e99a30b682d61c07be19c5874fb80e3832,100.0,0.0,2828.427124746190096603,0x7af0f3e99a30b682d61c07be19c5874fb80e3832,99999.99999999999,0,2828.42712475,9813.301079040000331588089466094970703125
11141686,2020-10-27,0xd77e1c2620e0580fb336a5a3b736448c01e3325c,4.6e-17,2.2e-14,9.2e-17,Wrapped Ether,0xedc4f55d4187b50e2e3a8e22c8cab6d586186a23,Gordon Growth Model,GGM,2.2e-14,18,48,0x78021ed7a57c6bf66f359173bd4c4d96c2f8506c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,100.0,80000.0,1603868282,2020-10-28 6:58,burn,1603868282,2020-10-28 6:58,128.7839188,4.6e-17,-1.0,7.141666666666667h,True,1603868282,1,46,0,0.02127659574468085,0.9787234042553191,0.0,0.0,0.15284836164754853,0.0,41,5,6.833333333333333,20661,2828.427124746190096603,0x78021ed7a57c6bf66f359173bd4c4d96c2f8506c,100.0,0.0,2828.427124746190096603,0x78021ed7a57c6bf66f359173bd4c4d96c2f8506c,99999.99999999999,0,2828.42712475,18950
